route_id,distance_km,parcel_weight_kg,planned_stops,traffic_index,rain_mm,warehouse_queue_min,priority_service,delivery_minutes
R1304,14.8,2.28,13,0.517,1.98,4.14,1,88.8
R1305,31.3,4.19,11,0.701,0.0,3.14,0,133.7
R1306,10.72,12.75,6,0.605,0.0,0.96,0,58.6
R1307,29.28,6.68,14,0.753,0.34,2.84,1,158.3
R1308,8.96,2.84,9,0.672,2.57,5.96,1,56.9
R1309,11.7,8.75,12,0.249,0.17,2.77,0,70.9
R1310,4.6,4.5,9,0.776,2.31,2.76,0,60.2
R1311,4.04,5.55,3,0.691,0.0,4.63,0,28.8
R1312,18.15,4.72,14,0.775,0.0,1.48,0,128.9
R1313,14.37,16.6,3,0.566,1.43,4.03,0,58.7
R1314,12.48,2.33,7,0.53,0.0,1.85,0,66.5
R1315,2.57,2.88,6,0.5,1.98,3.83,0,33.7
R1316,2.48,1.71,4,0.704,0.0,9.77,0,44.3
R1317,10.93,10.57,6,0.373,0.0,1.32,1,52.2
R1318,25.87,6.0,13,0.858,0.0,5.38,0,160.6
R1319,28.49,1.2,3,0.208,0.0,3.86,0,76.2
R1320,3.61,2.2,8,0.402,2.51,8.33,1,41.4
R1321,14.92,2.28,4,0.831,0.0,1.64,1,76.5
R1322,11.02,3.36,4,0.492,0.09,2.01,0,49.7
R1323,10.14,5.57,4,0.503,0.0,0.41,0,51.6
R1324,23.89,2.52,10,0.592,0.71,7.69,0,115.6
R1325,30.21,17.02,13,0.395,0.0,2.99,0,117.7
R1326,12.69,1.65,6,0.457,8.31,1.06,0,58.7
R1327,24.22,2.64,2,0.72,0.0,1.5,0,77.0
R1328,25.27,2.51,11,0.496,0.72,5.12,0,103.1
R1329,30.85,4.28,5,0.723,0.0,3.65,0,110.8
R1330,19.26,5.93,9,0.643,0.0,7.9,0,102.8
R1331,29.37,6.55,14,0.706,0.0,10.72,0,141.4
R1332,15.45,4.02,4,0.569,9.45,8.67,1,68.9
R1333,24.85,3.8,4,0.785,0.0,14.92,0,123.1
R1334,13.76,7.23,2,0.49,0.0,6.17,0,59.3
R1335,18.74,6.44,4,0.543,0.0,2.86,1,63.4
R1336,8.62,6.19,2,0.615,3.42,2.13,1,35.8
R1337,12.07,3.06,9,0.589,0.0,4.62,1,69.6
R1338,27.72,0.93,1,0.327,1.54,9.36,0,80.1
R1339,15.52,5.63,10,0.887,4.64,6.91,0,122.8
R1340,21.64,6.87,1,0.275,2.85,7.19,0,61.5
R1341,13.72,3.64,14,0.767,0.0,0.16,0,98.4
R1342,15.31,5.06,1,0.58,0.0,1.8,0,46.8
R1343,7.1,16.76,13,0.54,5.76,2.7,0,72.6
R1344,5.25,3.25,3,0.481,0.0,6.38,1,28.5
R1345,31.77,3.37,11,0.578,1.48,2.38,0,131.5
R1346,2.64,3.3,2,0.584,0.0,6.65,0,36.6
R1347,21.42,8.68,11,0.796,0.0,5.94,0,144.6
R1348,5.26,7.31,3,0.277,0.0,0.86,0,29.4
R1349,10.11,0.82,4,0.644,3.82,3.1,0,54.8
R1350,14.39,2.93,9,0.72,0.01,2.37,0,81.2
R1351,17.55,4.08,5,0.583,4.11,2.8,0,81.3
R1352,25.9,1.95,12,0.58,0.0,4.46,0,119.4
R1353,27.94,3.03,2,0.653,1.64,2.57,1,91.2
R1354,14.81,3.49,10,0.75,20.79,4.28,0,103.6
R1355,13.04,1.9,11,0.597,1.26,6.96,0,86.1
R1356,30.02,3.48,14,0.378,0.0,4.17,0,114.1
R1357,6.66,7.52,6,0.861,0.0,8.27,0,65.5
R1358,5.01,6.64,10,0.631,0.0,3.93,0,62.9
R1359,7.04,5.17,14,0.655,2.02,13.63,0,85.9
R1360,28.87,1.42,11,0.474,1.92,6.28,0,111.8
R1361,11.06,1.46,7,0.855,0.0,2.9,0,76.2
R1362,3.46,2.86,2,0.816,4.97,3.89,0,33.7
R1363,20.16,4.7,8,0.487,0.0,4.36,0,79.7
R1364,25.72,2.81,6,0.176,0.0,6.19,1,71.3
R1365,5.23,14.08,10,0.844,1.12,3.9,0,77.0
R1366,31.54,5.28,8,0.517,4.66,10.27,1,118.4
R1367,27.16,6.21,3,0.801,0.0,7.0,0,122.9
R1368,14.05,13.99,3,0.701,0.0,1.09,0,57.1
R1369,4.97,4.35,12,0.726,0.0,24.48,0,92.5
R1370,9.13,6.08,8,0.644,0.04,1.09,0,66.1
R1371,25.08,5.2,12,0.467,0.0,1.27,0,113.9
R1372,19.63,2.57,1,0.598,0.82,3.99,1,62.3
R1373,20.89,6.35,5,0.893,0.0,0.24,0,111.4
R1374,21.19,5.97,6,0.531,0.0,6.17,0,88.3
R1375,18.47,6.62,2,0.572,0.0,4.33,0,66.5
R1376,8.92,0.86,6,0.541,0.0,2.68,1,44.6
R1377,28.23,2.99,5,0.74,0.0,2.01,1,95.4
R1378,31.47,4.42,8,0.461,0.0,9.39,0,122.8
R1379,8.49,1.76,1,0.598,0.0,3.51,0,37.6
R1380,25.95,4.27,14,0.632,1.35,2.87,1,120.8
R1381,6.4,5.1,14,0.853,0.0,1.87,0,87.9
R1382,25.6,7.2,8,0.66,0.0,4.02,0,109.5
R1383,12.87,5.49,2,0.531,0.0,7.81,1,45.7
R1384,7.27,2.4,6,0.858,4.98,0.55,0,61.2
R1385,15.53,4.32,8,0.865,2.75,3.15,0,105.2
R1386,15.97,9.06,2,0.574,0.0,1.16,0,55.8
R1387,29.21,3.4,2,0.736,0.0,9.84,0,109.8
R1388,9.38,1.22,9,0.761,2.57,7.62,0,73.1
R1389,13.94,3.51,12,0.797,2.13,6.2,0,103.3
R1390,19.39,1.57,13,0.818,0.0,8.08,0,135.0
R1391,9.01,3.32,12,0.292,2.72,7.49,1,65.0
R1392,19.35,5.93,8,0.699,0.0,16.56,0,103.7
R1393,14.51,9.07,10,0.45,0.0,4.53,0,84.6
R1394,17.84,2.79,11,0.768,6.51,2.05,1,115.3
R1395,6.04,1.58,4,0.326,4.56,18.97,1,47.1
R1396,2.05,4.54,10,0.462,9.73,1.75,1,44.0
R1397,24.4,6.55,2,0.385,0.29,1.52,0,70.2
R1398,26.69,1.57,14,0.475,0.0,5.29,1,114.6
R1399,28.37,19.41,8,0.466,0.0,3.29,0,100.9
R1400,16.38,3.4,2,0.671,7.37,1.81,0,68.4
R1401,3.27,4.56,6,0.502,0.0,13.67,1,46.7
R1402,4.52,5.0,4,0.875,2.51,2.76,0,44.6
R1403,20.52,3.52,4,0.592,0.0,8.62,1,80.1
R1404,21.86,2.95,1,0.802,0.0,1.9,1,89.9
R1405,26.19,14.05,6,0.765,1.99,2.08,1,121.5
R1406,21.42,0.89,12,0.635,0.0,25.37,0,132.7
R1407,10.15,5.61,6,0.804,0.0,0.94,0,64.5
R1408,23.57,2.34,10,0.615,9.82,2.4,0,106.2
R1409,1.7,8.91,6,0.586,0.0,1.8,0,27.1
R1410,21.52,7.54,14,0.565,3.92,4.48,0,117.4
R1411,27.13,10.67,3,0.552,0.0,3.38,0,95.5
R1412,9.24,2.07,13,0.566,1.41,15.63,0,85.2
R1413,29.41,3.91,3,0.488,4.3,7.24,0,94.2
R1414,14.75,5.06,4,0.847,0.0,4.33,0,89.1
R1415,15.2,5.9,1,0.882,0.0,12.52,0,81.9
R1416,26.36,4.06,7,0.501,0.47,4.06,0,100.6
R1417,12.85,1.82,10,0.755,0.15,23.05,0,120.7
R1418,12.94,4.8,2,0.576,0.83,6.84,0,53.8
R1419,23.45,3.61,5,0.61,1.24,0.44,0,85.1
R1420,4.05,2.84,14,0.344,5.65,5.46,1,64.6
R1421,1.3,10.56,12,0.833,1.81,12.22,0,81.9
R1422,14.19,5.53,10,0.703,7.45,8.43,0,101.9
R1423,20.24,6.59,3,0.426,0.0,4.0,0,68.9
R1424,5.98,8.4,13,0.726,0.79,3.4,0,74.7
R1425,25.17,2.05,13,0.718,0.76,0.91,1,115.7
R1426,2.45,3.87,13,0.487,0.0,13.36,0,66.5
R1427,9.61,6.92,6,0.528,0.0,1.05,0,50.0
R1428,2.83,0.73,12,0.896,0.0,8.41,1,68.7
R1429,30.44,2.02,13,0.553,3.3,4.79,0,132.2
R1430,1.5,2.33,14,0.409,2.73,3.68,0,53.6
R1431,12.97,3.19,14,0.815,0.0,2.29,0,111.3
R1432,5.2,3.85,4,0.589,0.0,19.96,0,57.6
R1433,21.52,1.72,8,0.771,7.97,5.84,0,132.7
R1434,30.6,2.21,9,0.816,7.83,3.76,0,162.2
R1435,21.88,2.2,13,0.549,0.0,11.4,0,110.8
R1436,20.01,3.04,13,0.813,0.0,3.91,0,130.3
R1437,27.31,2.55,12,0.778,0.0,1.6,0,156.4
R1438,9.91,3.88,14,0.721,9.6,2.37,0,102.1
R1439,9.31,1.75,4,0.717,0.0,3.69,1,44.6
R1440,9.12,1.86,11,0.833,0.0,3.63,0,86.0
R1441,26.41,3.52,7,0.724,0.0,15.09,0,120.8
R1442,13.66,1.28,10,0.689,0.0,11.82,1,82.8
R1443,17.62,2.18,2,0.401,1.09,2.95,0,47.8
R1444,1.74,4.43,6,0.862,1.02,7.74,1,40.3
R1445,8.09,1.36,13,0.617,5.96,1.27,1,76.1
R1446,13.63,7.46,11,0.549,0.0,5.66,0,81.5
R1447,2.95,5.19,7,0.501,0.0,8.34,1,47.4
R1448,23.46,3.25,6,0.641,0.0,3.23,0,91.3
R1449,20.26,2.68,2,0.331,0.0,8.45,0,62.8
R1450,7.71,2.81,7,0.721,0.0,6.13,0,66.2
R1451,11.22,1.39,2,0.585,0.0,2.18,0,45.9
R1452,11.18,3.47,1,0.459,0.0,3.62,0,46.7
R1453,14.69,2.45,11,0.508,0.0,9.41,0,83.6
R1454,27.87,3.39,3,0.645,0.0,1.44,0,89.8
R1455,19.21,3.66,2,0.688,0.0,7.1,0,75.6
R1456,30.15,3.67,14,0.482,0.0,2.81,0,122.2
R1457,8.25,6.28,6,0.536,1.42,3.04,0,51.9
R1458,5.28,2.61,5,0.783,0.0,2.93,0,55.0
R1459,21.33,5.87,3,0.347,0.0,1.95,0,64.0
R1460,31.6,0.86,1,0.506,4.33,1.78,0,101.1
R1461,19.16,7.47,5,0.339,0.0,3.53,0,70.2
R1462,16.61,1.26,9,0.784,0.0,4.0,1,103.5
R1463,22.62,1.45,10,0.652,1.55,8.16,0,111.4
R1464,26.06,1.6,13,0.898,0.0,2.77,1,147.8
R1465,17.37,6.15,12,0.664,4.25,3.37,0,100.7
R1466,8.0,5.11,1,0.188,0.0,10.21,1,35.3
R1467,17.08,4.96,1,0.699,0.0,2.73,1,58.6
R1468,11.44,12.35,14,0.365,0.0,6.37,0,79.3
R1469,7.71,0.41,11,0.47,0.54,4.15,1,60.8
R1470,11.76,6.5,8,0.732,0.0,1.65,1,65.9
R1471,28.15,3.1,2,0.368,0.0,6.43,1,80.7
R1472,12.77,2.14,1,0.842,0.0,7.35,0,64.2
R1473,15.07,6.01,10,0.808,4.88,2.76,0,103.5
R1474,18.22,5.43,5,0.791,0.0,6.03,0,104.4
R1475,16.98,3.4,4,0.7,0.0,16.97,0,88.6
R1476,1.41,4.37,6,0.608,3.14,4.45,0,38.7
R1477,9.55,4.66,4,0.451,0.0,2.41,1,42.1
R1478,16.01,5.35,8,0.877,0.0,5.17,0,104.2
R1479,22.42,5.52,2,0.58,9.47,2.76,1,74.5
R1480,16.87,4.68,8,0.619,0.0,2.22,0,81.5
R1481,4.1,14.51,6,0.557,0.0,6.66,1,44.4
R1482,18.15,10.67,6,0.38,0.0,8.38,0,75.9
R1483,17.92,6.74,1,0.477,0.0,2.52,0,57.6
R1484,17.33,4.57,6,0.356,3.81,12.27,0,79.6
R1485,1.27,6.23,9,0.444,5.58,5.82,0,49.0
R1486,14.61,7.98,2,0.83,0.29,4.52,0,83.4
R1487,2.94,1.77,13,0.347,0.0,7.89,0,58.1
R1488,21.72,1.75,5,0.873,0.0,7.0,0,114.4
R1489,19.46,11.46,6,0.563,0.0,10.52,1,86.1
R1490,29.62,1.31,12,0.255,10.06,11.25,1,114.6
R1491,1.79,3.52,1,0.486,0.0,9.09,0,20.3
R1492,16.14,8.23,7,0.592,0.0,5.54,0,77.5
R1493,11.37,2.96,7,0.856,5.35,12.84,0,91.0
R1494,7.05,0.65,3,0.382,3.53,4.61,0,44.1
R1495,31.5,2.66,10,0.86,3.52,1.53,0,165.5
R1496,15.13,0.49,7,0.539,2.09,17.45,1,76.8
R1497,15.85,7.68,11,0.671,0.0,21.94,1,102.8
R1498,15.11,1.42,11,0.712,0.0,20.84,1,98.0
R1499,30.96,5.54,6,0.438,0.0,19.22,0,112.9
R1500,11.22,1.34,3,0.619,0.0,2.74,0,48.9
R1501,31.07,4.96,10,0.457,5.88,10.15,0,123.0
R1502,31.7,2.29,4,0.376,0.0,13.79,0,112.9
R1503,20.9,12.43,4,0.485,0.0,4.2,0,73.9
R1504,6.19,9.74,6,0.597,0.0,1.86,0,49.0
R1505,29.43,2.48,4,0.902,0.0,6.26,0,140.1
R1506,4.6,3.2,2,0.885,0.0,7.43,0,44.6
R1507,17.15,4.66,2,0.26,0.0,5.54,1,44.6
R1508,11.95,1.81,4,0.392,0.0,4.68,0,52.6
R1509,9.78,10.19,1,0.654,0.0,6.95,0,41.6
R1510,30.14,4.58,9,0.612,0.09,4.74,1,120.2
R1511,11.2,3.36,14,0.776,0.0,5.32,0,111.0
R1512,7.0,4.34,7,0.753,0.0,6.38,0,63.5
R1513,16.03,2.9,7,0.768,0.83,5.13,0,98.8
R1514,21.71,8.82,11,0.834,0.0,3.93,0,131.3
R1515,7.37,1.85,9,0.584,0.0,5.5,1,56.1
R1516,27.54,6.67,4,0.51,0.0,15.87,0,106.8
R1517,8.61,5.76,1,0.37,3.21,2.56,0,37.1
R1518,13.57,1.81,9,0.789,1.77,4.92,1,96.4
R1519,25.21,8.45,12,0.607,0.86,11.62,0,123.5
R1520,29.53,5.13,8,0.286,0.0,3.95,0,100.9
R1521,25.18,1.42,4,0.606,0.0,1.76,0,80.7
R1522,2.82,0.62,9,0.56,0.0,3.97,0,52.6
R1523,15.27,2.96,12,0.459,2.85,3.14,0,82.8
R1524,25.64,1.59,4,0.759,0.0,2.36,0,116.3
R1525,25.04,0.99,11,0.472,0.0,10.05,0,108.1
R1526,22.97,13.34,9,0.66,0.0,1.59,1,103.6
R1527,29.33,5.08,8,0.631,0.0,1.17,0,117.8
R1528,30.9,4.94,7,0.639,0.51,7.3,0,115.0
R1529,11.19,13.06,13,0.54,0.59,2.77,0,89.8
R1530,13.25,4.54,11,0.263,0.0,14.1,0,77.2
R1531,16.74,6.74,12,0.575,0.01,3.12,0,94.5
R1532,31.42,3.39,10,0.765,0.0,6.81,0,163.2
R1533,8.8,4.16,9,0.791,0.0,4.13,0,77.8
R1534,10.52,0.99,1,0.802,0.0,2.27,0,52.1
R1535,10.9,2.71,14,0.734,0.0,15.35,0,105.8
R1536,3.48,4.76,2,0.583,0.0,3.57,0,30.8
R1537,1.49,2.19,9,0.284,0.0,6.37,0,40.7
R1538,4.96,8.79,12,0.464,0.0,3.36,0,71.6
R1539,22.77,10.61,1,0.575,3.38,4.15,1,73.8
R1540,27.09,6.63,14,0.661,0.0,2.95,0,131.5
R1541,23.41,4.21,1,0.406,1.22,6.95,1,63.3
R1542,8.96,6.06,4,0.609,1.15,14.13,1,55.1
R1543,13.62,3.67,3,0.699,5.79,4.4,0,59.8
R1544,25.6,2.66,2,0.553,0.0,13.34,0,97.4
R1545,15.2,5.88,7,0.581,0.0,0.28,0,68.2
R1546,18.37,8.7,7,0.357,6.28,5.18,0,81.9
R1547,2.95,4.25,5,0.827,3.19,1.91,0,48.6
R1548,26.69,2.07,2,0.737,0.0,4.41,0,86.3
R1549,16.44,8.29,14,0.611,0.0,1.76,1,95.6
R1550,10.46,6.01,6,0.632,0.0,10.83,0,71.9
R1551,7.59,4.4,1,0.73,0.0,1.0,1,31.3
R1552,23.21,2.71,3,0.26,0.0,10.4,0,73.6
R1553,5.04,5.9,1,0.62,0.0,8.26,0,40.6
R1554,15.39,6.6,7,0.436,0.0,0.78,0,63.1
R1555,5.55,5.38,10,0.817,0.0,1.76,0,74.7
R1556,14.39,3.39,8,0.749,0.0,4.81,0,85.6
R1557,30.37,4.66,10,0.451,0.0,0.11,1,102.3
R1558,2.3,3.61,4,0.729,0.0,2.99,0,28.0
R1559,5.51,5.67,12,0.528,4.04,3.32,1,61.3
R1560,10.26,4.62,11,0.602,0.0,2.43,0,79.1
R1561,16.21,3.07,3,0.693,0.0,7.0,0,68.9
R1562,17.19,8.59,3,0.576,4.84,9.23,0,75.3
R1563,21.29,1.55,7,0.685,0.0,1.66,0,97.4
R1564,10.32,3.19,12,0.672,0.0,4.1,1,75.5
R1565,26.89,2.1,7,0.659,4.26,2.35,0,113.4
R1566,24.48,3.34,9,0.245,5.54,4.03,1,86.8
R1567,10.07,5.3,2,0.704,0.0,5.14,0,50.2
R1568,16.7,0.71,12,0.526,0.03,4.75,1,91.0
R1569,21.27,1.91,10,0.673,0.0,2.63,0,104.6
R1570,15.07,5.39,7,0.467,0.0,4.52,0,66.3
R1571,30.74,2.41,14,0.607,0.0,1.14,0,131.4
R1572,23.3,5.41,9,0.928,0.87,2.21,1,132.1
R1573,12.4,5.49,9,0.548,9.75,8.72,0,84.3
R1574,13.89,1.9,4,0.572,0.0,13.41,0,62.8
R1575,14.59,6.6,11,0.671,0.0,1.01,0,86.5
R1576,3.45,1.03,9,0.848,5.97,8.47,1,64.0
R1577,26.16,5.39,1,0.884,0.0,3.74,0,115.7
R1578,21.85,2.6,7,0.333,10.48,10.97,0,96.4
R1579,6.16,4.86,9,0.469,3.39,2.79,0,50.0
R1580,29.33,4.28,12,0.644,0.0,1.62,1,120.1
R1581,1.23,4.66,7,0.834,1.71,8.18,0,50.9
R1582,10.33,2.67,6,0.438,0.0,3.44,0,56.3
R1583,15.73,3.5,2,0.394,0.0,0.61,0,43.8
R1584,31.58,3.31,3,0.551,0.0,4.48,1,101.3
R1585,25.25,7.07,13,0.76,0.0,6.6,1,145.1
R1586,15.57,3.09,11,0.567,0.0,5.28,1,83.8
R1587,26.59,6.42,2,0.563,0.0,5.39,0,90.9
R1588,10.86,4.44,5,0.792,0.0,6.72,1,70.4
R1589,17.02,6.95,5,0.256,0.0,1.65,0,56.3
R1590,14.24,0.95,5,0.255,0.0,5.41,0,56.5
R1591,24.44,3.18,13,0.463,0.88,7.65,0,108.6
R1592,13.63,2.79,14,0.458,2.08,2.4,1,82.9
R1593,10.71,9.22,11,0.409,2.81,1.52,0,74.6
R1594,7.45,3.51,5,0.487,0.0,9.61,1,45.1
R1595,4.86,3.44,14,0.526,4.89,6.53,0,72.7
R1596,12.74,4.45,10,0.295,0.0,13.94,0,87.5
R1597,1.2,2.0,3,0.796,2.54,16.03,0,33.1
R1598,29.31,5.66,5,0.886,0.0,10.54,0,146.2
R1599,10.35,3.19,10,0.927,2.43,15.46,1,95.0
R1600,10.56,7.4,1,0.792,5.37,2.76,0,57.2
